
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Sergej Milinkovic-Sa..,Lazio,Midfielder,28,483,9,53,0,40,81,16,48,2,1,6,0,237,
Bruno Jordao,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christopher Ikonomid..,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Davide Di Gennaro,Lazio,Midfielder,1,2,0,0,0,0,100,15,0,0,0,0,0,4,
Alessandro Murgia,Lazio,Midfielder,11,6,0,25,0,4,86,14,36,1,0,1,0,64,
Abukar Mohamed,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nani,Lazio,Forward,15,121,3,73,0,7,80,15,46,0,0,1,0,106.75,
Filip Djordjevic,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ricardo Kishna,ADO Den Haag,Forward,2,20,0,0,0,2,88,13,56,0,0,0,0,10.5,
Keita,Monaco,Forward,23,219,8,48,0,15,76,13,47,0,0,3,1,161.75,
Ciro Immobile,Lazio,Forward,28,930,27,60,0,35,79,13,44,0,0,3,1,298.75,
Felipe Caicedo,Lazio,Forward,18,48,2,71,0,6,79,13,37,0,0,1,0,117.5,
Simone Palombi,Lazio,Forward,1,4,0,0,0,0,85,15,0,0,0,0,0,4.0,
Pedro Neto,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Brayan Perea,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Cristiano Lombardi,Benevento,Forward,16,53,0,36,0,15,73,15,40,2,0,3,0,90.75,
Alessandro Rossi,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mário Rui,Napoli,Defender,19,268,2,40,0,19,88,15,40,2,2,6,1,120.75,
Christian Maggio,Napoli,Defender,12,88,0,0,0,2,84,14,49,3,0,0,0,74.5,
Hrvoje Milic,Napoli,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Vlad Chiriches,Napoli,Defender,6,138,0,0,0,1,91,18,49,5,1,1,0,46.25,
Elseid Hysaj,Napoli,Defender,28,402,0,25,0,17,86,14,47,3,3,2,1,168.25,
Kalidou Koulibaly,Napoli,Defender,30,1024,4,55,0,8,91,17,49,5,2,4,0,203.0,
Faouzi Ghoulam,Napoli,Defender,11,572,2,71,0,27,89,15,53,3,0,1,0,113.75,
Raúl Albiol,Napoli,Defender,24,754,1,40,0,7,90,21,51,5,1,5,0,153.75,
Lorenzo Tonelli,Napoli,Defender,2,50,0,50,0,0,94,15,63,4,0,0,0,24.0,
Leandrinho,Napoli,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allan,Napoli,Midfielder,31,436,4,50,0,30,87,15,43,1,0,2,0,216,
Zinedine Machach,Napoli,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jorginho,Napoli,Midfielder,27,636,2,36,0,42,89,14,40,2,1,5,0,200,
Emanuele Giaccherini,Napoli,Midfielder,4,11,0,0,0,2,87,12,83,0,0,3,0,24,
Marek Hamsik,Napoli,Midfielder,31,947,6,52,0,45,89,15,48,1,0,1,0,248,
Piotr Zielinski,Napoli,Midfielder,29,428,4,42,0,24,88,14,46,1,1,3,0,202,
Marko Rog,Napoli,Midfielder,23,35,1,80,0,6,88,12,35,0,0,2,0,125,
Adam Ounas,Napoli,Midfielder,6,32,0,33,0,4,85,16,57,0,0,0,0,37,
Amadou Diawara,Napoli,Midfielder,17,195,1,40,0,5,93,15,37,1,0,1,0,104,
José Callejón,Napoli,Forward,31,759,9,59,0,57,85,16,43,2,0,2,0,278.25,
Dries Mertens,Napoli,Forward,31,723,17,49,0,50,75,13,40,0,1,4,0,284.5,
Lorenzo Insigne,Napoli,Forward,30,1272,7,49,0,82,85,13,51,1,0,3,0,287.5,
Alessio Zerbin,Napoli,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Arkadiusz Milik,Napoli,Forward,8,82,2,78,0,5,77,11,18,0,0,0,0,61.25,
Vincent Laurini,Fiorentina,Defender,19,204,0,0,0,13,80,19,50,4,1,3,0,126.25,
Cristiano Biraghi,Fiorentina,Defender,28,296,1,21,0,46,77,20,44,5,2,5,0,211.5,
Vitor Hugo,Fiorentina,Defender,15,357,1,50,0,2,88,19,57,7,0,3,0,113.5,
Nikola Milenkovic,Fiorentina,Defender,9,67,0,0,0,3,82,21,52,4,0,1,1,60.75,
Davide Astori,Fiorentina,Defender,25,591,1,25,0,9,87,20,57,8,2,5,0,181.25,
Maximiliano Olivera,Fiorentina,Defender,5,21,0,50,0,4,77,20,41,4,0,1,0,39.0,
Germán Pezzella,Fiorentina,Defender,28,394,1,25,0,7,84,21,46,8,1,9,0,170.75,
Bruno Gaspar,Fiorentina,Defender,11,48,0,0,0,9,85,17,43,3,0,1,0,72.25,
Milan Badelj,Fiorentina,Midfielder,24,377,2,22,0,38,83,18,37,5,3,7,1,188,
Carlos Sánchez,Espanyol,Midfielder,9,30,0,0,0,3,82,19,41,3,1,2,0,64,
Bryan Dabo,Fiorentina,Midfielder,5,27,0,0,0,2,76,15,58,5,1,0,0,58,
Riccardo Saponara,Fiorentina,Midfielder,11,210,0,67,0,21,82,16,55,1,0,1,0,85,
Valentin Eysseric,Fiorentina,Midfielder,16,64,0,29,0,19,80,16,48,1,0,1,0,107,
Ianis Hagi,Fiorentina,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matías Fernández,Fiorentina,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Veretout,Fiorentina,Midfielder,30,468,5,46,0,45,84,19,41,3,0,8,0,233,
Sebastián Cristóforo..,Fiorentina,Midfielder,5,8,0,0,0,1,78,16,48,2,0,1,0,37,
Marco Benassi,Fiorentina,Midfielder,29,226,4,58,0,36,77,16,36,2,0,5,0,202,
Andrés Schetino,Fiorentina,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gil Dias,Fiorentina,Midfielder,23,128,2,43,0,20,78,14,41,1,1,1,0,149,
Jaime Báez,Fiorentina,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ante Rebic,Croatia,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Giovanni Simeone,Fiorentina,Forward,31,114,10,41,0,29,72,12,32,1,0,2,0,223.25,
Federico Chiesa,Fiorentina,Forward,29,287,6,35,0,43,79,16,47,1,0,5,0,212.75,
Simone Lo Faso,Fiorentina,Forward,2,2,0,0,0,1,88,13,40,1,0,0,0,9.25,
Khouma Babacar,Fiorentina,Forward,16,181,4,65,0,8,81,14,43,0,0,1,0,115.0,
Cyril Théréau,Fiorentina,Forward,20,229,5,52,0,22,81,13,46,1,0,2,0,151.5,
Lisandro López,Internazionale,Defender,1,7,0,0,0,0,93,17,63,4,0,0,0,18.0,
Alejandro Grimaldo,Benfica,Defender,17,313,0,33,0,26,81,16,49,4,2,2,0,131.5,
Luisão,Benfica,Defender,14,352,1,40,0,0,86,20,47,7,0,3,0,95.0,
Douglas,Benfica,Defender,1,15,0,0,0,0,79,15,43,2,0,0,0,10.0,
Branimir Kalaica,Benfica,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Eliseu,Benfica,Defender,6,16,0,0,0,1,77,17,56,5,0,1,0,49.25,
Jardel,Benfica,Defender,17,504,2,56,0,6,85,20,49,7,1,3,0,126.5,
Rúben Dias,Benfica,Defender,13,300,2,40,0,4,86,21,43,6,0,2,0,96.0,
Aurélio Buta,Benfica,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Lubomir Fejsa,Benfica,Midfielder,18,248,0,0,0,3,90,18,37,4,0,6,0,114,
Filipe Augusto,Benfica,Midfielder,8,71,0,0,0,5,87,18,34,2,0,1,0,56,
Andreas Samaris,Benfica,Midfielder,10,112,1,100,0,3,82,19,47,2,0,0,0,72,
André Horta,Sporting Braga,Midfielder,11,210,1,71,0,9,85,20,56,1,0,1,0,79,
Filip Krovinovic,Benfica,Midfielder,13,302,1,44,0,9,88,14,65,1,0,0,0,95,
Franco Cervi,Benfica,Midfielder,20,417,3,50,0,41,77,14,45,1,0,0,0,163,
Rafa,Benfica,Midfielder,11,26,0,40,0,10,68,13,33,1,0,0,0,65,
André Carrillo,Benfica,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Erdal Rakip,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
André Almeida,Benfica,Midfielder,22,379,2,38,0,24,79,17,49,4,0,5,0,167,
Martin Chrien,Benfica,Midfielder,1,3,0,0,0,0,77,13,100,1,0,0,0,12,
Diogo Gonçalves,Benfica,Midfielder,7,58,0,57,0,8,79,15,37,1,0,1,0,47,
João Carvalho,Benfica,Midfielder,5,36,0,50,0,1,88,14,56,0,0,0,0,29,
Raúl Jiménez,Benfica,Forward,22,168,5,60,0,12,65,13,47,0,0,3,0,144.0,
Jonas,Benfica,Forward,22,1072,24,66,0,34,79,15,45,1,0,2,0,259.5,
Gabriel,Benfica,Forward,1,11,0,0,0,0,100,11,100,0,0,0,0,4.0,
Kostas Mitroglou,Marseille,Forward,15,156,5,52,0,7,68,11,45,0,0,2,0,101.75,
Haris Seferovic,Benfica,Forward,13,136,4,68,0,8,75,13,18,1,0,1,0,97.0,
Andrija Zivkovic,Benfica,Forward,10,194,2,69,0,19,81,16,42,1,0,3,1,82.75,
Eduardo Salvio,Benfica,Forward,19,311,7,59,0,17,80,13,42,1,0,1,0,152.25,
Pizzi,Benfica,Forward,23,469,5,61,0,48,84,19,41,1,0,3,0,206.0,
Óscar Benítez,Benfica,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Chris Willock,Benfica,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Zé Gomes,Benfica,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mykola Matvyenko,Shakhtar Donetsk,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Bogdan Butko,Shakhtar Donetsk,Defender,7,41,0,0,0,1,84,17,43,7,1,1,0,55.25,
Sergey Krivtsov,Shakhtar Donetsk,Defender,1,4,0,0,0,0,92,19,0,4,0,0,0,14.0,
Davit Khotcholava,Shakhtar Donetsk,Defender,4,9,0,0,0,0,91,22,50,2,0,1,0,26.0,
Maksim Malyshev,Shakhtar Donetsk,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ivan Ordets,Shakhtar Donetsk,Defender,8,71,0,0,0,2,89,20,45,7,0,1,1,59.5,
Ismaily,Shakhtar Donetsk,Defender,8,84,1,50,0,6,80,15,54,4,0,1,0,68.5,
Darijo Srna,Shakhtar Donetsk,Defender,1,18,0,0,0,1,83,24,40,8,0,0,0,29.25,
Yaroslav Rakitskiy,Shakhtar Donetsk,Defender,7,94,0,100,0,2,88,23,60,6,0,2,1,57.5,
Márcio Azevedo,Shakhtar Donetsk,Defender,1,11,0,0,0,0,100,17,50,0,0,0,0,5.0,
Dodô,Shakhtar Donetsk,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Sergiy Bolbat,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dmytro Grechyshkin,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Taras Stepanenko,Shakhtar Donetsk,Midfielder,8,62,0,33,0,3,87,18,33,3,0,2,0,59,
Fred,Shakhtar Donetsk,Midfielder,8,118,1,56,0,9,85,19,54,2,1,2,0,67,
Dentinho,Shakhtar Donetsk,Midfielder,5,2,0,0,0,0,79,11,40,0,0,0,0,24,
Bernard,Shakhtar Donetsk,Midfielder,8,118,3,100,0,11,82,15,50,2,1,0,0,80,
Marlos,Shakhtar Donetsk,Midfielder,8,160,2,80,0,17,85,16,48,1,0,0,0,75,
Alan Patrick,Shakhtar Donetsk,Midfielder,3,55,0,100,0,0,89,16,88,1,0,0,0,25,
Vyacheslav Tankovsky..,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ivan Petryak,Zorya Luhansk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yuri Glushchuk,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oleksandr Pikhalyono..,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Viktor Kovalenko,Shakhtar Donetsk,Midfielder,5,35,0,0,0,1,86,15,14,0,0,1,0,22,
Olarenwaju Kayode,Shakhtar Donetsk,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Taison,Shakhtar Donetsk,Forward,8,119,1,43,0,7,84,16,60,1,0,2,0,51.75,
Facundo Ferreyra,Shakhtar Donetsk,Forward,8,95,3,44,0,7,79,12,27,1,0,3,0,57.75,
Oleksandr Zubkov,Shakhtar Donetsk,Forward,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,
Artem Dudik,Shakhtar Donetsk,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Gustavo Blanco,Shakhtar Donetsk,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Omar Gaber,Basel,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Leo Lacroix,Basel,Defender,2,19,0,0,0,0,89,19,50,13,0,1,0,48.0,
Michael Lang,Basel,Defender,8,127,3,43,0,4,68,18,42,4,0,1,0,72.0,
Marek Suchy,Basel,Defender,8,148,0,0,0,2,84,21,48,9,1,0,0,70.5,
Éder Balanta,Basel,Defender,6,4,0,0,0,3,69,21,41,9,0,2,0,56.75,
Blás Riveros,Basel,Defender,5,9,1,50,0,2,66,15,41,3,0,0,0,40.5,
Raoul Petretta,Basel,Defender,5,46,0,100,0,4,76,15,43,5,0,2,0,42.0,
Pedro Pacheco,Basel,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Luca Zuffi,Basel,Midfielder,7,132,1,50,0,6,85,18,50,3,0,0,0,66,
Renato Steffen,VfL Wolfsburg,Midfielder,12,53,0,50,0,3,75,15,39,1,0,2,0,65,
Valentin Stocker,Basel,Midfielder,2,1,0,0,0,3,42,16,42,2,0,0,0,23,
Alexander Fransson,Basel,Midfielder,3,0,0,0,0,0,75,19,0,0,0,0,0,11,
Geoffroy Serey Dié,Basel,Midfielder,5,12,0,33,0,2,87,19,40,2,0,1,0,38,
Fabian Frei,Basel,Midfielder,2,9,0,0,0,0,87,19,15,8,0,0,0,57,
Mohamed Elyounoussi,Basel,Midfielder,8,39,2,67,0,3,70,15,39,2,0,0,0,62,
Dereck Kutesa,Basel,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominik Schmid,Basel,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Bua,Basel,Midfielder,5,14,0,0,0,1,71,13,43,0,0,0,0,25,
Taulant Xhaka,Basel,Midfielder,6,10,1,50,0,5,87,16,54,3,0,5,0,56,
Davide Callà,Basel,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ricky van Wolfswinke..,Basel,Forward,3,11,1,100,0,1,78,19,0,1,0,0,0,24.25,
Andraz Sporar,Basel,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Dimitri Oberlin,Basel,Forward,8,77,4,53,0,4,68,13,41,1,0,0,0,61.0,
Albian Ajeti,Basel,Forward,3,24,0,0,0,0,90,11,8,0,0,0,0,12.0,
Neftali Manzambi,Basel,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Cedric Itten,Basel,Forward,1,2,0,0,0,0,50,8,0,0,0,0,0,3.0,
Afimico Pululu,Basel,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jack Hendry,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jozo Simunovic,Celtic,Defender,2,68,0,0,0,1,99,19,21,8,0,0,0,31.25,
Cristian Gamboa,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Dedryck Boyata,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mikael Lustig,Celtic,Defender,2,15,0,0,0,0,92,20,47,6,0,1,0,27.0,
Erik Sviatchenko,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Marvin Compper,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jamie McCart,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Anthony Ralston,Celtic,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Kieran Tierney,Celtic,Defender,2,13,0,0,0,0,80,19,27,4,0,0,0,19.0,
Charly Musonda,Celtic,Midfielder,2,17,0,0,0,2,73,14,67,0,0,0,0,13,
Nir Bitton,Celtic,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Patrick Roberts,Celtic,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Brown,Celtic,Midfielder,2,36,0,0,0,0,87,17,46,5,0,1,0,39,
Scott Sinclair,Celtic,Midfielder,1,9,0,100,0,1,100,13,0,0,0,0,0,5,
Stuart Armstrong,Celtic,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonny Hayes,Celtic,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tomas Rogic,Celtic,Midfielder,1,15,0,50,0,1,84,15,50,0,0,0,0,6,
Olivier Ntcham,Celtic,Midfielder,2,44,0,25,0,4,86,20,50,4,0,1,0,37,
Kundai Benyu,Celtic,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kristoffer Ajer,Celtic,Midfielder,2,54,0,0,0,0,93,20,52,7,0,0,0,53,
Callum McGregor,Celtic,Midfielder,2,35,1,100,0,1,95,17,44,0,0,0,0,16,
Liam Henderson,Celtic,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eboue Kouassi,Celtic,Midfielder,2,18,0,100,0,1,85,17,24,2,0,2,0,20,
Leigh Griffiths,Celtic,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Moussa Dembele,Celtic,Forward,2,64,0,0,0,2,79,12,40,3,0,2,0,7.5,
Odsonne Edouard,Celtic,Forward,1,3,0,0,0,0,100,9,33,0,0,0,0,4.0,
James Forrest,Celtic,Forward,2,53,0,0,0,1,96,14,57,3,0,0,0,9.25,
Calvin Miller,Celtic,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Michael Johnston,Celtic,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jack Aitchison,Celtic,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Bernardo,RB Leipzig,Defender,15,123,1,44,0,4,72,17,49,7,0,2,0,109.0,
Willi Orban,RB Leipzig,Defender,23,535,3,30,0,7,83,20,56,8,0,3,1,175.75,
Dayotchanculle Upame..,RB Leipzig,Defender,24,429,1,60,0,7,84,21,54,8,1,3,1,166.75,
Ibrahima Konaté,RB Leipzig,Defender,12,80,0,0,0,1,80,20,49,5,0,1,0,78.25,
Lukas Klostermann,RB Leipzig,Defender,22,215,1,43,0,14,76,15,54,5,0,2,0,159.5,
Benno Schmitz,RB Leipzig,Defender,1,8,0,0,0,2,80,16,67,1,0,0,0,11.5,
Marcel Halstenberg,RB Leipzig,Defender,15,308,2,42,0,15,79,16,60,5,1,3,0,132.75,
Marcel Sabitzer,RB Leipzig,Midfielder,22,523,3,60,0,34,73,16,49,3,0,4,0,174,
Naby Keita,RB Leipzig,Midfielder,23,429,5,37,0,35,80,14,47,3,0,7,1,187,
Stefan Ilsanker,RB Leipzig,Midfielder,17,92,0,50,0,6,84,19,43,5,1,3,1,117,
Dominik Kaiser,RB Leipzig,Midfielder,8,17,0,50,0,2,81,20,20,1,0,0,0,44,
Konrad Laimer,RB Leipzig,Midfielder,20,120,0,0,0,12,77,16,35,2,0,2,0,118,
Diego Demme,RB Leipzig,Midfielder,25,341,0,14,0,25,83,16,43,3,0,4,0,167,
Kevin Kampl,RB Leipzig,Midfielder,22,392,1,38,0,46,86,16,41,3,0,3,0,179,
Yussuf Poulsen,RB Leipzig,Forward,26,120,4,42,0,18,62,12,56,1,0,0,0,157.5,
Emil Forsberg,RB Leipzig,Forward,19,278,2,33,0,37,80,16,49,1,0,0,0,145.25,
Timo Werner,RB Leipzig,Forward,27,463,11,55,0,19,75,13,36,1,0,1,0,207.75,
Bruma,RB Leipzig,Forward,25,242,3,41,0,24,80,13,50,1,0,0,0,167.0,
Ademola Lookman,RB Leipzig,Forward,6,69,1,50,0,4,78,15,39,1,0,0,0,40.0,
Nicolas-Gerrit Kühn,RB Leipzig,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jean-Kévin Augustin,RB Leipzig,Forward,21,176,6,61,0,10,79,13,40,0,0,1,0,150.5,
Federico Palacios,RB Leipzig,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
